reference,direction,threshold_1jnd_px,jod_at_1px,jod_at_2px,jod_at_5px,jod_at_10px,ssim_at_1px,ssim_at_2px,ssim_at_5px,ssim_at_10px
I01,right,0.5486296852145949,1.8227230989312089,2.6553362479883242,2.782546718633064,2.851832110740693,0.6781379888651793,0.41711886457434066,0.353321715528653,0.31243084399154586
I01,left,0.5486296852145949,1.8227230989312089,2.6553362479883242,2.782546718633064,2.851832110740693,0.6781379888651793,0.41711886457434066,0.353321715528653,0.31243084399154586
I01,up,0.42456435334093295,2.355355535929748,2.9769250390318707,2.9786003134141383,2.9946876796850947,0.5325110204082673,0.22148271604546443,0.2200606129010068,0.20605099911171373
I01,down,0.42456435334093295,2.355355535929748,2.9769250390318707,2.9786003134141383,2.9946876796850947,0.5325110204082673,0.22148271604546443,0.2200606129010068,0.20605099911171373
I02,right,0.6652898738385443,1.503104194612595,2.2335995763256804,2.4007680051229014,2.512984079451173,0.7474608616941509,0.5706381184765419,0.5172505915738983,0.4765677801427937
I02,left,0.6652898738385443,1.503104194612595,2.2335995763256804,2.4007680051229014,2.512984079451173,0.7474608616941509,0.5706381184765419,0.5172505915738983,0.4765677801427937
I02,up,0.6180861871354287,1.6178973431433281,2.3711356470978364,2.501663176365404,2.6152837374163074,0.7236044547865046,0.5272786734306457,0.4808871708141997,0.43491139922103084
I02,down,0.6180861871354287,1.6178973431433281,2.3711356470978364,2.501663176365404,2.6152837374163074,0.7236044547865046,0.5272786734306457,0.4808871708141997,0.43491139922103084
I03,right,1.351882227477338,0.7491478637394566,1.4620344964600553,1.9551357134655003,2.1721535941002896,0.8855656470189761,0.7557559704534115,0.6462934751146444,0.5885581469612973
I03,left,1.351882227477338,0.7491478637394566,1.4620344964600553,1.9551357134655003,2.1721535941002896,0.8855656470189761,0.7557559704534115,0.6462934751146444,0.5885581469612973
I03,up,0.8614301525589038,1.160860224162656,1.7624559951300105,1.9919419636916924,2.1868286212339063,0.8134047851847884,0.69195003982709,0.6370308578712632,0.5843504277837633
I03,down,0.8614301525589038,1.160860224162656,1.7624559951300105,1.9919419636916924,2.1868286212339063,0.8134047851847884,0.69195003982709,0.6370308578712632,0.5843504277837633
I04,right,0.8296097080407562,1.2053860873465974,2.017356273969087,2.3416568776910873,2.5242577595429196,0.8051921479124534,0.6305196890127741,0.5369949539893518,0.4722134092399296
I04,left,0.8296097080407562,1.2053860873465974,2.017356273969087,2.3416568776910873,2.5242577595429196,0.8051921479124534,0.6305196890127741,0.5369949539893518,0.4722134092399296
I04,up,0.8432232438374139,1.185925562783484,1.9251793741308152,2.291744947624643,2.444505660118697,0.8087933065768633,0.6536932711750155,0.5528993114177085,0.5019325347123432
I04,down,0.8432232438374139,1.185925562783484,1.9251793741308152,2.291744947624643,2.444505660118697,0.8087933065768633,0.6536932711750155,0.5528993114177085,0.5019325347123432
I05,right,0.6029102274332042,1.6586217226026223,2.7307251175117884,3.034474809351055,3.0877217699632524,0.7148818079186234,0.3808237199535399,0.1682918072563835,0.10878100978437912
I05,left,0.6029102274332042,1.6586217226026223,2.7307251175117884,3.034474809351055,3.0877217699632524,0.7148818079186234,0.3808237199535399,0.1682918072563835,0.10878100978437912
I05,up,0.5872657298147715,1.7028066669502548,2.7837416225769767,3.0892685628474075,3.1096830121549903,0.7052498809813155,0.35265915136865755,0.10685770095394947,0.08020371620494222
I05,down,0.5872657298147715,1.7028066669502548,2.7837416225769767,3.0892685628474075,3.1096830121549903,0.7052498809813155,0.35265915136865755,0.10685770095394947,0.08020371620494222
I06,right,0.7860071145803768,1.272253115080093,2.1844193679600394,2.674682788709597,2.8263201890145826,0.7926728360625238,0.5850442338095664,0.4081759794668797,0.3281067230569733
I06,left,0.7860071145803768,1.272253115080093,2.1844193679600394,2.674682788709597,2.8263201890145826,0.7926728360625238,0.5850442338095664,0.4081759794668797,0.3281067230569733
I06,up,0.4149189774445382,2.410109092042359,2.975652352896052,2.957119024277956,2.9802521857449884,0.5140323400025575,0.2225586060342884,0.2378070650413665,0.21865177458358337
I06,down,0.4149189774445382,2.410109092042359,2.975652352896052,2.957119024277956,2.9802521857449884,0.5140323400025575,0.2225586060342884,0.2378070650413665,0.21865177458358337
I07,right,1.209944391617868,0.8289752911760218,1.643594379145136,2.2703527298358734,2.5527570594489957,0.8720255412590304,0.7181173054051594,0.5595196481203033,0.46095932954637536
I07,left,1.209944391617868,0.8289752911760218,1.643594379145136,2.2703527298358734,2.5527570594489957,0.8720255412590304,0.7181173054051594,0.5595196481203033,0.46095932954637536
I07,up,0.8969071085968799,1.1149426628632684,2.2224462326241294,2.952887667104627,2.6390492580854845,0.8217771583439104,0.5739511103447678,0.2411834283177816,0.42446724841251904
I07,down,0.8969071085968799,1.1149426628632684,2.2224462326241294,2.952887667104627,2.6390492580854845,0.8217771583439104,0.5739511103447678,0.2411834283177816,0.42446724841251904
I08,right,0.5075186818024305,1.9703708175796475,2.7522551788272835,2.931799137634929,3.039498824786228,0.6424828151750442,0.36967912618985155,0.25747409695643775,0.16316370894651316
I08,left,0.5075186818024305,1.9703708175796475,2.7522551788272835,2.931799137634929,3.039498824786228,0.6424828151750442,0.36967912618985155,0.25747409695643775,0.16316370894651316
I08,up,0.5165704427754434,1.9358444022216474,2.664100317952358,2.833583117103534,2.9248159983810345,0.6510726800497109,0.41309724583707014,0.32372268660439013,0.2626825504293728
I08,down,0.5165704427754434,1.9358444022216474,2.664100317952358,2.833583117103534,2.9248159983810345,0.6510726800497109,0.41309724583707014,0.32372268660439013,0.2626825504293728
I09,right,0.7995006113995943,1.2507807820802217,1.9792304813622348,2.3985710704325918,2.522464547650757,0.7967183056966521,0.6402517151148777,0.5180034384187231,0.4729096233852463
I09,left,0.7995006113995943,1.2507807820802217,1.9792304813622348,2.3985710704325918,2.522464547650757,0.7967183056966521,0.6402517151148777,0.5180034384187231,0.4729096233852463
I09,up,0.7940109505015254,1.259428474340769,1.9823427003072647,2.301238802421321,2.4554156945610304,0.7950919887939574,0.6394653031899374,0.5499245201102375,0.498009244758454
I09,down,0.7940109505015254,1.259428474340769,1.9823427003072647,2.301238802421321,2.4554156945610304,0.7950919887939574,0.6394653031899374,0.5499245201102375,0.498009244758454
I10,right,0.7963115615537715,1.2557898795903322,2.035679161157139,2.399907324744639,2.5686731892397505,0.7957767563637395,0.6257642363960595,0.5175457126091955,0.4545128216729567
I10,left,0.7963115615537715,1.2557898795903322,2.035679161157139,2.399907324744639,2.5686731892397505,0.7957767563637395,0.6257642363960595,0.5175457126091955,0.4545128216729567
I10,up,0.7465870013491556,1.3394286241160138,2.238752406592969,2.603848281683894,2.6973669604566792,0.779853271108327,0.569098110073851,0.43982499140174,0.39737562421108447
I10,down,0.7465870013491556,1.3394286241160138,2.238752406592969,2.603848281683894,2.6973669604566792,0.779853271108327,0.569098110073851,0.43982499140174,0.39737562421108447
I11,right,0.6612384124762006,1.512313835875335,2.3984978014164238,2.709789614646282,2.828110054576028,0.745584174248113,0.5180285199078163,0.39130841940734296,0.32703195246847283
I11,left,0.6612384124762006,1.512313835875335,2.3984978014164238,2.709789614646282,2.828110054576028,0.745584174248113,0.5180285199078163,0.39130841940734296,0.32703195246847283
I11,up,0.5271574080821265,1.8969666074468003,2.6426157590639434,2.7973232243410946,2.885660297575601,0.6605538837954386,0.42287174313427106,0.34503055332349514,0.29035881346199827
I11,down,0.5271574080821265,1.8969666074468003,2.6426157590639434,2.7973232243410946,2.885660297575601,0.6605538837954386,0.42287174313427106,0.34503055332349514,0.29035881346199827
I12,right,0.9773608490663841,1.0231635541317639,1.820447054142381,2.3279791883438916,2.549119691639329,0.8382385563611567,0.6786668501416563,0.5414196478666778,0.4624159767939325
I12,left,0.9773608490663841,1.0231635541317639,1.820447054142381,2.3279791883438916,2.549119691639329,0.8382385563611567,0.6786668501416563,0.5414196478666778,0.4624159767939325
I12,up,0.5408033437024692,1.8491009932626534,2.505329225735939,2.574423835974617,2.6625073036470868,0.6719655962567923,0.4794941677686932,0.4521538954190561,0.4138318350394639
I12,down,0.5408033437024692,1.8491009932626534,2.505329225735939,2.574423835974617,2.6625073036470868,0.6719655962567923,0.4794941677686932,0.4521538954190561,0.4138318350394639
