reference_id,raid_reference_file,raid_distorted_file,tid2013_test_file,raid_gn_level,tid2013_gn_level,raid_mlds_curve_value,raid_mlds_sigma,raid_jod_distortion,tid2013_mos,tid2013_jod_quality,tid2013_jod_distortion
1,img_01.png,gn_img_01_level_02.png,i01_01_2.png,2,2,0.1718711,0.391271,0.6512531878687573,5.56757,-0.175516306,0.175516306
1,img_01.png,gn_img_01_level_03.png,i01_01_3.png,3,3,0.4590375,0.391271,1.739382992341898,4.94444,-0.708361862,0.708361862
1,img_01.png,gn_img_01_level_05.png,i01_01_4.png,5,4,0.6713191,0.391271,2.543758447776583,4.37838,-1.25415525,1.25415525
1,img_01.png,gn_img_01_level_10.png,i01_01_5.png,10,5,1.0,0.391271,3.7891947197967175,3.86486,-1.770809111,1.770809111
2,img_02.png,gn_img_02_level_02.png,i02_01_2.png,2,2,0.1368735,0.3453103,0.5876711986872573,5.34286,-0.129375535,0.129375535
2,img_02.png,gn_img_02_level_03.png,i02_01_3.png,3,3,0.3634701,0.3453103,1.5605722691768114,5.22222,-0.511855511,0.511855511
2,img_02.png,gn_img_02_level_05.png,i02_01_4.png,5,4,0.6389849,0.3453103,2.743504996869187,4.19444,-1.480440657,1.480440657
2,img_02.png,gn_img_02_level_10.png,i02_01_5.png,10,5,1.0,0.3453103,4.293535964272424,3.97297,-1.992764721,1.992764721
3,img_03.png,gn_img_03_level_02.png,i03_01_2.png,2,2,0.2645268,0.3353733,1.169407244173393,5.10526,-0.891741592,0.891741592
3,img_03.png,gn_img_03_level_03.png,i03_01_3.png,3,3,0.4305225,0.3353733,1.9032327765200447,4.68421,-1.398164394,1.398164394
3,img_03.png,gn_img_03_level_05.png,i03_01_4.png,5,4,0.7005135,0.3353733,3.096795762119106,4.25,-1.975047584,1.975047584
3,img_03.png,gn_img_03_level_10.png,i03_01_5.png,10,5,1.0,0.3353733,4.420752130233516,3.925,-2.511081324,2.511081324
4,img_04.png,gn_img_04_level_02.png,i04_01_2.png,2,2,0.2404129,0.2373147,1.5019575904681923,5.47619,-0.798856352,0.798856352
4,img_04.png,gn_img_04_level_03.png,i04_01_3.png,3,3,0.4817743,0.2373147,3.009841142003752,4.92857,-1.621842711,1.621842711
4,img_04.png,gn_img_04_level_05.png,i04_01_4.png,5,4,0.7645984,0.2373147,4.776759022747736,4.26829,-2.316436187,2.316436187
4,img_04.png,gn_img_04_level_10.png,i04_01_5.png,10,5,1.0,0.2373147,6.2474099847699645,4.0,-2.960308549,2.960308549
5,img_05.png,gn_img_05_level_02.png,i05_01_2.png,2,2,0.04790172,0.4014648,0.1769002419463203,5.5,-0.244992248,0.244992248
5,img_05.png,gn_img_05_level_03.png,i05_01_3.png,3,3,0.2737165,0.4014648,1.0108301865251397,4.84615,-0.787365816,0.787365816
5,img_05.png,gn_img_05_level_05.png,i05_01_4.png,5,4,0.5694947,0.4014648,2.1031335162433735,4.05128,-1.224834716,1.224834716
5,img_05.png,gn_img_05_level_10.png,i05_01_5.png,10,5,1.0,0.4014648,3.692981248826797,3.56098,-1.878574158,1.878574158
6,img_06.png,gn_img_06_level_02.png,i06_01_2.png,2,2,0.1491885,0.4580899,0.4828467740322556,5.16667,-0.977597476,0.977597476
6,img_06.png,gn_img_06_level_03.png,i06_01_3.png,3,3,0.3636127,0.4580899,1.1768278165372352,5.02703,-1.248110578,1.248110578
6,img_06.png,gn_img_06_level_05.png,i06_01_4.png,5,4,0.6677687,0.4580899,2.16122483636886,4.31429,-1.683781269,1.683781269
6,img_06.png,gn_img_06_level_10.png,i06_01_5.png,10,5,1.0,0.4580899,3.236486543146704,3.61111,-2.520341275,2.520341275
7,img_07.png,gn_img_07_level_02.png,i07_01_2.png,2,2,0.1641291,0.4419227,0.5506352022280998,5.09091,-0.961150041,0.961150041
7,img_07.png,gn_img_07_level_03.png,i07_01_3.png,3,3,0.5229278,0.4419227,1.7543646877598973,4.8,-1.506275024,1.506275024
7,img_07.png,gn_img_07_level_05.png,i07_01_4.png,5,4,0.6635085,0.4419227,2.2259982446931517,4.45455,-1.742783765,1.742783765
7,img_07.png,gn_img_07_level_10.png,i07_01_5.png,10,5,1.0,0.4419227,3.354890121520998,3.97619,-2.306089382,2.306089382
8,img_08.png,gn_img_08_level_02.png,i08_01_2.png,2,2,0.159219,0.4304162,0.5484422852867082,4.70968,-0.75133182,0.75133182
8,img_08.png,gn_img_08_level_03.png,i08_01_3.png,3,3,0.2871572,0.4304162,0.9891354165219688,4.83871,-0.612480492,0.612480492
8,img_08.png,gn_img_08_level_05.png,i08_01_4.png,5,4,0.686549,0.4304162,2.364872111898353,4.1,-1.195704374,1.195704374
8,img_08.png,gn_img_08_level_10.png,i08_01_5.png,10,5,1.0,0.4304162,3.444578660127275,3.54839,-1.740074375,1.740074375
9,img_09.png,gn_img_09_level_02.png,i09_01_2.png,2,2,0.2522138,0.3422246,1.0926529273213577,5.0,-0.969360981,0.969360981
9,img_09.png,gn_img_09_level_03.png,i09_01_3.png,3,3,0.4696831,0.3422246,2.0347840713680467,4.54545,-1.461360045,1.461360045
9,img_09.png,gn_img_09_level_05.png,i09_01_4.png,5,4,0.7879894,0.3422246,3.413767220822292,4.03226,-2.067374849,2.067374849
9,img_09.png,gn_img_09_level_10.png,i09_01_5.png,10,5,1.0,0.3422246,4.332249673402042,3.63636,-2.568339795,2.568339795
10,img_10.png,gn_img_10_level_02.png,i10_01_2.png,2,2,0.2798516,0.3353752,1.2371476360573572,5.43243,-1.092266523,1.092266523
10,img_10.png,gn_img_10_level_03.png,i10_01_3.png,3,3,0.4544296,0.3353752,2.008909697450687,4.74359,-1.610617382,1.610617382
10,img_10.png,gn_img_10_level_05.png,i10_01_4.png,5,4,0.7438511,0.3353752,3.288362794772214,4.53846,-1.931459199,1.931459199
10,img_10.png,gn_img_10_level_10.png,i10_01_5.png,10,5,1.0,0.3353752,4.420726925995801,3.81579,-2.512576062,2.512576062
11,img_11.png,gn_img_11_level_02.png,i11_01_2.png,2,2,0.2244869,0.282761,1.1770533203346698,5.16216,-0.79636314,0.79636314
11,img_11.png,gn_img_11_level_03.png,i11_01_3.png,3,3,0.3987871,0.282761,2.0909628346316613,5.35135,-0.823195655,0.823195655
11,img_11.png,gn_img_11_level_05.png,i11_01_4.png,5,4,0.7423859,0.282761,3.892555816062054,4.28571,-1.681404419,1.681404419
11,img_11.png,gn_img_11_level_10.png,i11_01_5.png,10,5,1.0,0.282761,5.243305771469298,3.86111,-2.317751594,2.317751594
12,img_12.png,gn_img_12_level_02.png,i12_01_2.png,2,2,0.2265933,0.3173139,1.058723723811079,4.97222,-1.358093873,1.358093873
12,img_12.png,gn_img_12_level_03.png,i12_01_3.png,3,3,0.4207536,0.3173139,1.9659083027051505,4.78947,-1.869977935,1.869977935
12,img_12.png,gn_img_12_level_05.png,i12_01_4.png,5,4,0.6496039,0.3173139,3.035178813918013,4.13889,-2.343493556,2.343493556
12,img_12.png,gn_img_12_level_10.png,i12_01_5.png,10,5,1.0,0.3173139,4.672352691918354,3.76316,-2.871091514,2.871091514
13,img_13.png,gn_img_13_level_02.png,i13_01_2.png,2,2,0.1345089,0.5623547,0.3546216972614708,5.425,-0.299424482,0.299424482
13,img_13.png,gn_img_13_level_03.png,i13_01_3.png,3,3,0.2575374,0.5623547,0.6789762184923718,5.06977,-0.628360172,0.628360172
13,img_13.png,gn_img_13_level_05.png,i13_01_4.png,5,4,0.4884343,0.5623547,1.2877171220874777,4.7907,-0.77977272,0.77977272
13,img_13.png,gn_img_13_level_10.png,i13_01_5.png,10,5,1.0,0.5623547,2.636418121228746,4.02381,-1.687410305,1.687410305
